identifier,srp,srr,srz,replicate,protocol,organism,sample type,cell type,clone_individual,strain,genotype,construct,baseline_control_expt,treatment type,treatment,times,timecourse,library prep,spike in,notes,experimentally not usable,curator 1,curator 2,published,bibtex,author,year,last author,doi,single_paired,rcomp,other data,atac seq,rna seq,chip seq,three d,other seq,sample_id,sample_name,genetic_id,expt_id,raw_read_depth,raw_read_length,trim_read_depth,duplication_picard,single_map,multi_map,map_prop,rseqc_tags,rseqc_cds,cds_rpk,rseqc_five_utr,rseqc_three_utr,rseqc_intron,intron_rpk,exint_ratio,distinct_tenmillion_prop,genome_prop_cov,avg_fold_cov,samp_qc_score,samp_data_score
Schaukowitch2017intrinsic,SRP094701,SRR5084320,SRR5084320,rep1,GRO-seq,M. musculus,primary cell,cortical neuron,,,,,experimental,treatment,tetrodotoxin,"-4,0,hr",True,circularization,None,,False,Chi,Jacob,True,Schaukowitch2017intrinsic,Schaukowitch,2017,Kim,10.1016/j.celrep.2017.01.033,single,False,True,False,True,False,False,False,1553,SRR5084320,1202,531,16092672,51,14837832,0.790539,7933699,3101510,0.7437,8510928,357567,9.65,207193,2129872,3435171,3.12,3.092948717948718,0.2127291,0.03179885296218232,0.3145348324519684,3,5
Schaukowitch2017intrinsic,SRP094701,SRR5084321,SRR5084321,rep2,GRO-seq,M. musculus,primary cell,cortical neuron,,,,,control,no treatment,,,True,circularization,None,,False,Chi,Jacob,True,Schaukowitch2017intrinsic,Schaukowitch,2017,Kim,10.1016/j.celrep.2017.01.033,single,False,True,False,True,False,False,False,1554,SRR5084321,1202,531,19809443,51,19376778,0.582485,15114750,1061392,0.8348,14586665,599698,16.19,505956,1530758,10059575,9.12,1.7752192982456143,0.53058555,0.07824230893383571,0.3326740913048452,2,4
Schaukowitch2017intrinsic,SRP094701,SRR5084322,SRR5084322,rep2,GRO-seq,M. musculus,primary cell,cortical neuron,,,,,experimental,treatment,tetrodotoxin,"-30,0,min",True,circularization,None,,False,Chi,Jacob,True,Schaukowitch2017intrinsic,Schaukowitch,2017,Kim,10.1016/j.celrep.2017.01.033,single,False,True,False,True,False,False,False,1555,SRR5084322,1202,531,21414495,51,20847713,0.647593,15889610,1104443,0.8151999999999999,15106828,568597,15.35,523549,1523800,10521888,9.54,1.609014675052411,0.48249395,0.07151979117420107,0.34504128173789533,2,4
Schaukowitch2017intrinsic,SRP094701,SRR5084323,SRR5084323,rep2,GRO-seq,M. musculus,primary cell,cortical neuron,,,,,experimental,treatment,tetrodotoxin,"-2,0,hr",True,circularization,None,,False,Chi,Jacob,True,Schaukowitch2017intrinsic,Schaukowitch,2017,Kim,10.1016/j.celrep.2017.01.033,single,False,True,False,True,False,False,False,1556,SRR5084323,1202,531,24758982,51,23985913,0.697736,18257127,1293051,0.8151,17438124,700433,18.91,606215,1794297,11815292,10.72,1.7639925373134326,0.4601025,0.06954024674759408,0.3979543489153217,3,4
Schaukowitch2017intrinsic,SRP094701,SRR5084324,SRR5084324,rep2,GRO-seq,M. musculus,primary cell,cortical neuron,,,,,experimental,treatment,tetrodotoxin,"-4,0,hr",True,circularization,None,,False,Chi,Jacob,True,Schaukowitch2017intrinsic,Schaukowitch,2017,Kim,10.1016/j.celrep.2017.01.033,single,False,True,False,True,False,False,False,1557,SRR5084324,1202,531,26282412,51,25490525,0.673179,19706127,1334612,0.8254,18611252,708041,19.12,724140,1861495,12707922,11.52,1.6597222222222223,0.50332405,0.07897081183131376,0.4341938885894389,3,4
Heinaniemi2016transcription,SRP056832,SRR1951429,SRZ1951428,rep1,GRO-seq,H. sapiens,cell line,REH,,,,,control,no treatment,,,True,circularization,None,Control for 24 hr co-cultures; REH (ACC-20) cell line is ALL leukemia cell line ,False,Chi,Mary,True,,Heinaniemi,2016,Lohi,10.7554/eLife.13087,single,False,True,False,False,True,False,False,97,SRZ1951428,956,469,43783052,51,39866930,0.420702,24843305,11929315,0.9224,32879284,1816495,47.18,8665595,1701489,16052713,11.94,3.95142378559464,0.64904805,0.15321860392252942,1.2690244110014683,1,2
Heinaniemi2016transcription,SRP056832,SRR1951431,SRZ1951430,rep2,GRO-seq,H. sapiens,cell line,REH,,,,,control,no treatment,,,True,circularization,None,Control for 24 hr co-cultures; REH (ACC-20) cell line is ALL leukemia cell line ,False,Chi,Mary,True,,Heinaniemi,2016,Lohi,10.7554/eLife.13087,single,False,True,False,False,True,False,False,98,SRZ1951430,956,469,45743488,51,35610400,0.554162,20031565,12675916,0.9185,29449967,1430288,37.15,9302529,1519607,13264770,9.87,3.7639311043566366,0.54934735,0.12467195353704807,1.2530352767253228,2,2
Heinaniemi2016transcription,SRP056832,SRR1951432,SRR1951432,rep1,GRO-seq,H. sapiens,cell line,REH,,,,,control,no treatment,,,True,circularization,None,Control for 48 hr co-cultures; REH (ACC-20) cell line is ALL leukemia cell line ,False,Chi,Mary,True,,Heinaniemi,2016,Lohi,10.7554/eLife.13087,single,False,True,False,False,True,False,False,1206,SRR1951432,956,469,27803789,51,26504350,0.428092,17223650,7674169,0.9394,22406089,1042412,27.08,5794456,1541438,11392751,8.47,3.1971664698937423,0.63869655,0.1234173883185425,0.8593418849230855,1,2
Heinaniemi2016transcription,SRP056832,SRR4782130,SRZ1951433,rep1,GRO-seq,H. sapiens,cell line,REH,,,,,experimental,treatment,stromal cell co-culture,"-24,0,hr",True,circularization,None,REH (ACC-20) cell line is ALL leukemia cell line ,False,Chi,Mary,True,,Heinaniemi,2016,Lohi,10.7554/eLife.13087,single,False,True,False,False,True,False,False,99,SRZ1951433,956,469,24905532,51,20064695,0.486344,12189733,6570631,0.935,16892275,747194,19.41,4875784,984211,8188939,6.09,3.187192118226601,0.573251,0.0977319020049669,0.6935550948000611,1,3
Heinaniemi2016transcription,SRP056832,SRR1951434,SRR1951434,rep2,GRO-seq,H. sapiens,cell line,REH,,,,,experimental,treatment,stromal cell co-culture,"-24,0,hr",True,circularization,None,REH (ACC-20) cell line is ALL leukemia cell line ,False,Chi,Mary,True,,Heinaniemi,2016,Lohi,10.7554/eLife.13087,single,False,True,False,False,True,False,False,1207,SRR1951434,956,469,18939916,51,16788561,0.470356,10055044,5543685,0.9290999999999999,14037116,626005,16.26,4117700,855463,6775982,5.04,3.2261904761904763,0.5695595,0.08586261897825917,0.5778893550585009,2,3
Heinaniemi2016transcription,SRP056832,SRR1951435,SRR1951435,rep1,GRO-seq,H. sapiens,cell line,REH,,,,,experimental,treatment,stromal cell co-culture,"-48,0,hr",True,circularization,None,REH (ACC-20) cell line is ALL leukemia cell line ,False,Chi,Mary,True,,Heinaniemi,2016,Lohi,10.7554/eLife.13087,single,False,True,False,False,True,False,False,1208,SRR1951435,956,469,12170853,51,11102093,0.422826,7015257,3480997,0.9454,9469135,427914,11.11,2616178,606308,4695353,3.49,3.1833810888252145,0.5802796,0.06895591717948026,0.3773361829342239,3,4
Heinaniemi2016transcription,SRP056832,SRR1951436,SRR1951436,rep1,GRO-seq,H. sapiens,cell line,REH,,,,,experimental,treatment,differentiated (A) stromal cell co-culture,"-24,0,hr",False,circularization,None,REH (ACC-20) cell line is ALL leukemia cell line ,False,Chi,Mary,True,,Heinaniemi,2016,Lohi,10.7554/eLife.13087,single,False,True,False,False,True,False,False,1209,SRR1951436,956,469,9844890,51,9549116,0.416917,5658734,3423063,0.9511,8277878,397934,10.34,2572104,485158,3856998,2.87,3.6027874564459927,0.57718165,0.06224792118120218,0.35580728493822067,4,4
Heinaniemi2016transcription,SRP056832,SRR1951437,SRR1951437,rep1,GRO-seq,H. sapiens,cell line,REH,,,,,experimental,treatment,differentiated (O) stromal cell co-culture,"-24,0,hr",False,circularization,None,REH (ACC-20) cell line is ALL leukemia cell line ,False,Chi,Mary,True,,Heinaniemi,2016,Lohi,10.7554/eLife.13087,single,False,True,False,False,True,False,False,1210,SRR1951437,956,469,8890592,51,2475705,0.583084,1136776,982759,0.8561,1682569,58526,1.52,357961,81755,982871,0.73,2.0821917808219177,0.35636888,0.012512277480161722,0.0677210898277087,5,5
Heinaniemi2016transcription,SRP056832,SRR1951426,SRR1951426,rep1,GRO-seq,H. sapiens,cell line,Nalm6,,,,,control,no treatment,,,False,circularization,None,Nalm6 (ACC-128) is ALL leukemia cell line ,False,Chi,Mary,True,,Heinaniemi,2016,Lohi,10.7554/eLife.13087,single,False,True,False,False,True,False,False,1204,SRR1951426,951,469,11710771,51,11433352,0.47101,6595483,4301585,0.9531000000000001,9992677,411380,10.69,3165371,549364,4632995,3.45,3.098550724637681,0.53456785,0.06730881376561466,0.44091785068461187,3,4
Heinaniemi2016transcription,SRP056832,SRR1951427,SRR1951427,rep1,GRO-seq,H. sapiens,cell line,Nalm6,,,,,experimental,treatment,stromal cell co-culture,"-24,0,hr",False,circularization,None,Nalm6 (ACC-128) is ALL leukemia cell line ,False,Chi,Mary,True,,Heinaniemi,2016,Lohi,10.7554/eLife.13087,single,False,True,False,False,True,False,False,1205,SRR1951427,951,469,12788126,51,10497325,0.404326,6628940,3233832,0.9396,8848002,349286,9.07,2234832,494774,4676333,3.48,2.6063218390804597,0.5926266,0.06927255799453862,0.3464328487837849,3,4
Salony2016akt,SRP062229,SRR2153512,SRR2153512,rep1,GRO-seq,H. sapiens,cell line,HCT116,,,,,experimental,treatment,AKTi-1/2(20 microM),"-72,0,hr",False,ligation,None,,False,Sam,Jessica,True,Salony2016akt,Salony,2016,Ramaswamy,10.1158/1535-7163.MCT-15-0414,single,False,True,False,True,False,False,True,1274,SRR2153512,798,480,101126414,50,87701519,0.951173,34034612,5863790,0.4549,28969430,881400,22.89,4369854,1723412,20434171,15.2,1.5059210526315792,0.1063521,0.013029752345673207,0.814523103143563,5,5
Salony2016akt,SRP062229,SRR2153511,SRR2153511,rep2,GRO-seq,H. sapiens,cell line,MCF7,,,,,control,vehicle,DMSO,"-72,0,hr",False,ligation,None,,False,Sam,Jessica,True,Salony2016akt,Salony,2016,Ramaswamy,10.1158/1535-7163.MCT-15-0414,single,False,True,False,True,False,False,True,1273,SRR2153511,892,480,97832031,50,89759559,0.965115,56577762,9947683,0.7412000000000001,45221254,1854400,48.17,1901548,2326978,37343729,27.78,1.7339812814974802,0.1524491,0.012888085257482567,1.2510969030542947,5,5
Salony2016akt,SRP062229,SRR2153513,SRR2153513,rep2,GRO-seq,H. sapiens,cell line,HCT116,,,,,experimental,treatment,AKTi-1/2(20 microM),"-72,0,hr",False,ligation,None,,False,Sam,Jessica,True,Salony2016akt,Salony,2016,Ramaswamy,10.1158/1535-7163.MCT-15-0414,single,False,True,False,True,False,False,True,1275,SRR2153513,798,480,96169449,50,91451663,0.929765,55536450,3465641,0.6452,47050776,1785842,46.39,3018392,3117643,37210139,27.68,1.6759393063583816,0.246946,0.02290358228663882,0.9907682970376192,4,5
Salony2016akt,SRP062229,SRR2153510,SRR2153510,rep1,GRO-seq,H. sapiens,cell line,MCF7,,,,,control,vehicle,DMSO,"-72,0,hr",False,ligation,None,,False,Sam,Jessica,True,Salony2016akt,Salony,2016,Ramaswamy,10.1158/1535-7163.MCT-15-0414,single,False,True,False,True,False,False,True,1272,SRR2153510,892,480,103092841,50,100905805,0.987047,33571390,4890431,0.3812,25030619,505761,13.14,5264300,1324802,17154326,12.76,1.0297805642633229,0.03427235,0.003571585371429447,0.6601555677129098,5,5
Salony2016akt,SRP062229,SRR2153509,SRR2153509,rep2,GRO-seq,H. sapiens,cell line,MCF7,,,,,experimental,treatment,AKTi-1/2(2 microM),"-72,0,hr",False,ligation,None,,False,Sam,Jessica,True,Salony2016akt,Salony,2016,Ramaswamy,10.1158/1535-7163.MCT-15-0414,single,False,True,False,True,False,False,True,1271,SRR2153509,892,480,95476419,50,87679478,0.96596,54457663,6271175,0.6926000000000001,48406013,1482703,38.51,5474457,2867253,36880390,27.43,1.4039372949325555,0.1350938,0.012099152641375628,1.051626165167525,5,5
Salony2016akt,SRP062229,SRR2153514,SRR2153514,rep1,GRO-seq,H. sapiens,cell line,HCT116,,,,,control,vehicle,DMSO,"-72,0,hr",False,ligation,None,,False,Sam,Jessica,True,Salony2016akt,Salony,2016,Ramaswamy,10.1158/1535-7163.MCT-15-0414,single,False,True,False,True,False,False,True,1276,SRR2153514,798,480,12679289,50,12585446,0.948259,5008763,488706,0.4368,3835125,82907,2.15,475471,238660,2916036,2.17,0.9907834101382489,0.03512726,0.00238845322812858,0.09594333691817236,5,5
Salony2016akt,SRP062229,SRR2153515,SRR2153515,rep2,GRO-seq,H. sapiens,cell line,HCT116,,,,,control,vehicle,DMSO,"-72,0,hr",False,ligation,None,,False,Sam,Jessica,True,Salony2016akt,Salony,2016,Ramaswamy,10.1158/1535-7163.MCT-15-0414,single,False,True,False,True,False,False,True,1277,SRR2153515,798,480,175757750,50,174322983,0.99457,133345829,5983515,0.7993000000000001,121021457,1128595,29.31,534496,9829409,105238722,78.28,0.3744251405212059,0.03519655,0.0045530686052068035,2.397431555406337,5,5
Salony2016akt,SRP062229,SRR2153508,SRR2153508,rep1,GRO-seq,H. sapiens,cell line,MCF7,,,,,experimental,treatment,AKTi-1/2(2 microM),"-72,0,hr",False,ligation,None,,False,Sam,Jessica,True,Salony2016akt,Salony,2016,Ramaswamy,10.1158/1535-7163.MCT-15-0414,single,False,True,False,True,False,False,True,1270,SRR2153508,892,480,102786946,50,93416741,0.955909,43275350,6481678,0.5326,37747554,1332584,34.61,5058670,2277481,27135186,20.19,1.7142149578999504,0.1130809,0.014428704397746434,0.993817347515266,5,5
Parikh2018critical,SRP144784 ,SRR7128402,SRR7128402,rep1,GRO-seq,D. melanogaster,tissue,ovary,,,,shRNA luciferase,control,no treatment,,,False,ligation,None,,False,Lynn,Joe,True,Parikh2018critical,Parikh,2018,Gangaraju,10.1074/jbc.AC118.003264,single,False,True,False,True,False,False,True,2200,SRR7128402,739,608,33267117,50,22895734,0.807606,5163491,12428723,0.7684000000000001,13073495,2733354,119.4,6674941,1426442,999963,17.22,6.933797909407667,0.2180669,0.2606568225560188,19.211510771387776,4,3
Parikh2018critical,SRP144784 ,SRR7128403,SRR7128403,rep2,GRO-seq,D. melanogaster,tissue,ovary,,,,shRNA luciferase,control,no treatment,,,False,ligation,None,,False,Lynn,Joe,True,Parikh2018critical,Parikh,2018,Gangaraju,10.1074/jbc.AC118.003264,single,False,True,False,True,False,False,True,2201,SRR7128403,739,608,22138842,50,16357020,0.752646,5140981,8790344,0.8517,10540508,2368135,103.45,4953915,999753,1291311,22.24,4.6515287769784175,0.2645659,0.2800092985262333,14.599842486820878,3,2
Parikh2018critical,SRP144784 ,SRR7128404,SRR7128404,rep1,GRO-seq,D. melanogaster,tissue,ovary,,,,shRNA Nup358,experimental,no treatment,,,False,ligation,None,,False,Lynn,Joe,True,Parikh2018critical,Parikh,2018,Gangaraju,10.1074/jbc.AC118.003264,single,False,True,False,True,False,False,True,2202,SRR7128404,738,608,32116608,50,20950442,0.736751,6241332,8986961,0.7269,11583586,2914431,127.31,5196117,1115889,1370923,23.61,5.392206692079627,0.28796485,0.2981630491607218,14.468770948764716,3,3
Parikh2018critical,SRP144784 ,SRR7128405,SRR7128405,rep2,GRO-seq,D. melanogaster,tissue,ovary,,,,shRNA Nup358,experimental,no treatment,,,False,ligation,None,,False,Lynn,Joe,True,Parikh2018critical,Parikh,2018,Gangaraju,10.1074/jbc.AC118.003264,single,False,True,False,True,False,False,True,2203,SRR7128405,738,608,32815261,50,25114156,0.746205,6814125,10150871,0.6755,12926809,2946255,128.7,6080709,1236562,1536409,26.47,4.862108046845485,0.2842743,0.31843004997801305,17.102671653410372,3,2
Chen2018rna,SRP099055,SRR6427124,SRZ6427123,rep1,GRO-seq,M. musculus,primary cell,splenic B cell,,,,shRNA Rod1,experimental,treatment,lipopolysaccharide(5 microg/mL),"-3,0,day",False,circularization,None,"Biological replicates clearly labeled, assumed two runs per bio rep were technical replicates",False,Lynn,Jessica,True,Chen2018rna,Chen,2018,Xue,10.1038/s41422-018-0076-9,single,False,True,False,False,False,False,True,275,SRZ6427123,1222,542,54992758,52,54637484,0.93043,21693088,11343821,0.6047,26416980,690453,18.64,870723,5949015,10938665,9.92,1.8790322580645162,0.08366245,0.027337792902172343,0.9868141574001263,4,5
Chen2018rna,SRP099055,SRR6427126,SRZ6427125,rep2,GRO-seq,M. musculus,primary cell,splenic B cell,,,,shRNA Rod1,experimental,treatment,lipopolysaccharide(5 microg/mL),"-3,0,day",False,circularization,None,"Biological replicates clearly labeled, assumed two runs per bio rep were technical replicates",False,Lynn,Jessica,True,Chen2018rna,Chen,2018,Xue,10.1038/s41422-018-0076-9,single,False,True,False,False,False,False,True,276,SRZ6427125,1222,542,73145903,52,72438479,0.929036,27620634,14658297,0.5837,33690643,905747,24.45,1152726,7284322,14178627,12.86,1.901244167962675,0.08672415,0.03318745825522601,1.2462053802850936,4,5
Chen2018rna,SRP099055,SRR6427128,SRZ6427127,rep1,GRO-seq,M. musculus,primary cell,splenic B cell,,,,,control,treatment,lipopolysaccharide(5 microg/mL),"-3,0,day",False,circularization,None,"Biological replicates clearly labeled, assumed two runs per bio rep were technical replicates",False,Lynn,Jessica,True,Chen2018rna,Chen,2018,Xue,10.1038/s41422-018-0076-9,single,False,True,False,False,False,False,True,277,SRZ6427127,1221,542,74456621,52,74005814,0.95601,27707459,14510835,0.5705,33287228,575097,15.53,1110379,7745898,13555185,12.29,1.2636289666395444,0.0556555,0.02186176171594939,1.2312913659942493,5,5
Chen2018rna,SRP099055,SRR6427130,SRZ6427129,rep2,GRO-seq,M. musculus,primary cell,splenic B cell,,,,,control,treatment,lipopolysaccharide(5 microg/mL),"-3,0,day",False,circularization,None,"Biological replicates clearly labeled, assumed two runs per bio rep were technical replicates",False,Lynn,Jessica,True,Chen2018rna,Chen,2018,Xue,10.1038/s41422-018-0076-9,single,False,True,False,False,False,False,True,278,SRZ6427129,1221,542,73186424,52,72562824,0.953832,26864770,14199041,0.5659000000000001,32265915,575632,15.54,1069061,7454532,13049337,11.83,1.3136094674556211,0.0585183,0.02225478273224849,1.1949217347355765,5,5
Stengel2019histone,SRP194280,SRR8992357,SRR8992357,rep1,PRO-seq,H. sapiens,cell line,SUDHL4,,,,,experimental,treatment,RGFP966(10 microM),"-3,0,hr",False,ligation,Luciferase/Gal4/NeoR/GFP,,False,,Daniel,True,Stengel2019histone,Stengel,2019,Hiebert,10.1093/nar/gkz816,single,True,True,False,True,True,False,False,2724,SRR8992357,971,675,128320017,75,88890152,0.638103,67631919,9199666,0.8643000000000001,65851708,3654485,94.92,6042872,3665878,41332648,30.75,3.086829268292683,0.62202065,0.14577666055301605,1.228523575218456,2,2
Stengel2019histone,SRP194280,SRR8992358,SRR8992358,rep1,PRO-seq,H. sapiens,cell line,NUDUL1,,,,,control,vehicle,DMSO,"-3,0,hr",False,ligation,Luciferase/Gal4/NeoR/GFP,,False,,Daniel,True,Stengel2019histone,Stengel,2019,Hiebert,10.1093/nar/gkz816,single,True,True,False,True,True,False,False,2725,SRR8992358,950,675,128692443,75,88321715,0.660019,67909608,9004730,0.8708,67041401,4001470,103.94,5139479,3941482,43310976,32.22,3.2259466170080695,0.6150358,0.14238970850465518,1.2076204910115205,3,2
Stengel2019histone,SRP194280,SRR8992359,SRR8992359,rep1,PRO-seq,H. sapiens,cell line,NUDUL1,,,,,experimental,treatment,RGFP966(10 microM),"-3,0,hr",False,ligation,Luciferase/Gal4/NeoR/GFP,,False,,Daniel,True,Stengel2019histone,Stengel,2019,Hiebert,10.1093/nar/gkz816,single,True,True,False,True,True,False,False,2726,SRR8992359,950,675,115760488,75,74106048,0.635022,56038313,7730773,0.8604999999999999,54276689,3165058,82.21,4617093,3075337,33977681,25.28,3.2519778481012653,0.6047708,0.13471413155545683,1.0081211111815325,2,2
Stengel2019histone,SRP194280,SRR8992360,SRR8992360,rep1,PRO-seq,H. sapiens,cell line,SUDHL4,,,,,control,vehicle,DMSO,"-3,0,hr",False,ligation,Luciferase/Gal4/NeoR/GFP,,False,,Daniel,True,Stengel2019histone,Stengel,2019,Hiebert,10.1093/nar/gkz816,single,True,True,False,True,True,False,False,2727,SRR8992360,971,675,103513912,75,74139679,0.633724,56869611,7671229,0.8704999999999999,56033910,3367171,87.46,4967075,3298964,35314411,26.27,3.3292729349067374,0.61139145,0.12972505302351037,1.0462924639265045,2,2
Stengel2019histone,SRP194280,SRR8992361,SRR8992361,rep2,PRO-seq,H. sapiens,cell line,SUDHL4,,,,,experimental,treatment,RGFP966(10 microM),"-3,0,hr",False,ligation,Luciferase/Gal4/NeoR/GFP,,False,,Daniel,True,Stengel2019histone,Stengel,2019,Hiebert,10.1093/nar/gkz816,single,True,True,False,True,True,False,False,2728,SRR8992361,971,675,89941089,75,66698954,0.681755,51499991,6894136,0.8755,50196185,2741807,71.22,4551314,2794174,31618236,23.52,3.0280612244897958,0.5629926,0.11509750462503572,0.9679848792866332,3,3
Stengel2019histone,SRP194280,SRR8992362,SRR8992362,rep2,PRO-seq,H. sapiens,cell line,NUDUL1,,,,,control,vehicle,DMSO,"-3,0,hr",False,ligation,Luciferase/Gal4/NeoR/GFP,,False,,Daniel,True,Stengel2019histone,Stengel,2019,Hiebert,10.1093/nar/gkz816,single,True,True,False,True,True,False,False,2729,SRR8992362,950,675,121767210,75,83666481,0.65079,65116808,8437702,0.8791,64211376,3855159,100.14,4918317,3784532,41541534,30.9,3.2407766990291265,0.6121266,0.13893147564295866,1.148103345834246,3,2
Stengel2019histone,SRP194280,SRR8992363,SRR8992363,rep2,PRO-seq,H. sapiens,cell line,NUDUL1,,,,,experimental,treatment,RGFP966(10 microM),"-3,0,hr",False,ligation,Luciferase/Gal4/NeoR/GFP,,False,,Daniel,True,Stengel2019histone,Stengel,2019,Hiebert,10.1093/nar/gkz816,single,True,True,False,True,True,False,False,2730,SRR8992363,950,675,122488690,75,79299738,0.655505,60132728,8343080,0.8634999999999999,58219366,3375361,87.67,4740730,3299165,36640682,27.26,3.2160674981658106,0.59825785,0.13514119867809948,1.0697526130707278,3,2
Stengel2019histone,SRP194280,SRR8992364,SRR8992364,rep1,PRO-seq,H. sapiens,cell line,OCILY1,,,,,control,vehicle,DMSO,"-3,0,hr",False,ligation,Luciferase/Gal4/NeoR/GFP,,False,,Daniel,True,Stengel2019histone,Stengel,2019,Hiebert,10.1093/nar/gkz816,single,True,True,False,True,True,False,False,2731,SRR8992364,955,675,56186456,51,41897356,0.505936,28949513,6148687,0.8377,29750181,1653037,42.94,4101804,1410643,17105517,12.72,3.375786163522012,0.6439481,0.11636233171285554,0.7078768220112118,2,3
Stengel2019histone,SRP194280,SRR8992365,SRR8992365,rep2,PRO-seq,H. sapiens,cell line,OCILY1,,,,,control,vehicle,DMSO,"-3,0,hr",False,ligation,Luciferase/Gal4/NeoR/GFP,,False,,Daniel,True,Stengel2019histone,Stengel,2019,Hiebert,10.1093/nar/gkz816,single,True,True,False,True,True,False,False,2732,SRR8992365,955,675,62879296,51,44516585,0.541299,29526584,7302786,0.8273,31235153,1694452,44.01,4727630,1452385,17546530,13.05,3.372413793103448,0.6239297,0.11516006038165068,0.7791960125139138,2,3
Stengel2019histone,SRP194280,SRR8992366,SRR8992366,rep1,PRO-seq,H. sapiens,cell line,OCILY1,,,,,experimental,treatment,RGFP966(10 microM),"-3,0,hr",False,ligation,Luciferase/Gal4/NeoR/GFP,,False,,Daniel,True,Stengel2019histone,Stengel,2019,Hiebert,10.1093/nar/gkz816,single,True,True,False,True,True,False,False,2733,SRR8992366,955,675,63495673,51,51011232,0.528661,35511300,8158925,0.8561,37127567,1855918,48.21,5499212,1663025,21131687,15.72,3.066793893129771,0.64913615,0.13425461652527143,1.0055843154634805,2,2
Stengel2019histone,SRP194280,SRR8992367,SRR8992367,rep2,PRO-seq,H. sapiens,cell line,OCILY1,,,,,experimental,treatment,RGFP966(10 microM),"-3,0,hr",False,ligation,Luciferase/Gal4/NeoR/GFP,,False,,Daniel,True,Stengel2019histone,Stengel,2019,Hiebert,10.1093/nar/gkz816,single,True,True,False,True,True,False,False,2734,SRR8992367,955,675,60748635,51,45342941,0.540011,30426415,7285477,0.8317,31934731,1624317,42.19,4847098,1433042,18023602,13.41,3.146159582401193,0.62099865,0.1164326070171958,0.8023858280358556,2,3
Stengel2019histone,SRP194280,SRR8992356,SRR8992356,rep2,PRO-seq,H. sapiens,cell line,SUDHL4,,,,,control,treatment,DMSO,"-3,0,hr",False,ligation,Luciferase/Gal4/NeoR/GFP,,False,,Daniel,True,Stengel2019histone,Stengel,2019,Hiebert,10.1093/nar/gkz816,single,True,True,False,True,True,False,False,2723,SRR8992356,971,675,123169470,75,92451894,0.663153,71498832,9073304,0.8715,69919639,4067955,105.66,5799952,4110259,44621617,33.19,3.1834890027116605,0.60839905,0.14097727772869534,1.2879696866384707,3,2
Core2012defining,SRP003416,SRR064989,SRZ064988,rep1,GRO-seq,D. melanogaster,cell line,S2,,,,,control,no treatment,,,False,ligation,None,,False,,Daniel,True,Core2012defining,Core,2012,Lis,10.1016/j.celrep.2012.08.034,single,False,True,False,False,True,False,False,9,SRZ064988,722,370,19488694,43,17943871,0.55413,8560781,2421996,0.6121,9335148,2381476,104.03,2688018,1128591,2725698,46.95,2.2157614483493075,0.45983415,0.2990049775405288,5.842659291606124,3,1
Core2012defining,SRP003416,SRR064991,SRZ064990,rep1,GRO-seq,D. melanogaster,cell line,S2,,,,RNAi control,control,no treatment,,,False,ligation,None,,False,,Daniel,True,Core2012defining,Core,2012,Lis,10.1016/j.celrep.2012.08.034,single,False,True,False,False,True,False,False,10,SRZ064990,724,370,18524902,43,16906244,0.534303,8049716,2443428,0.6207,8863052,2173927,94.96,2690777,1049119,2541379,43.78,2.1690269529465507,0.4706118,0.299494241828281,5.702326449788114,3,1
Core2012defining,SRP003416,SRR064993,SRZ064992,rep1,GRO-seq,D. melanogaster,cell line,S2,,,,RNAi Nelf,experimental,no treatment,,,False,ligation,None,,False,,Daniel,True,Core2012defining,Core,2012,Lis,10.1016/j.celrep.2012.08.034,single,False,True,False,False,True,False,False,11,SRZ064992,723,370,18781759,43,17124383,0.511162,6756871,2734734,0.5543,7830147,2010807,87.84,2200034,963173,2221734,38.27,2.295270446825189,0.48037687,0.2983163895423738,5.746514246327541,3,1
Core2012defining,SRP003416,SRR064994,SRR064994,rep1,GRO-seq,D. melanogaster,cell line,S2,,,,,baseline,no treatment,,,False,ligation,None,Treated with sarkosyl during run-on,False,,Daniel,True,Core2012defining,Core,2012,Lis,10.1016/j.celrep.2012.08.034,single,False,True,False,False,True,False,False,431,SRR064994,722,370,7479814,43,6025289,0.390603,3301784,1062599,0.7243,409779,5992,0.16,2497,8017,346207,0.26,0.6153846153846154,0.5152861200000001,0.2611422253295545,2.3285246305230185,4,1
Core2012defining,SRP003416,SRR064996,SRZ064995,rep1,GRO-seq,D. melanogaster,cell line,S2,,,,,baseline,no treatment,,,False,ligation,None,Not treated with sarkosyl during run-on,False,,Daniel,True,Core2012defining,Core,2012,Lis,10.1016/j.celrep.2012.08.034,single,False,True,False,False,True,False,False,12,SRZ064995,722,370,7896032,43,4883220,0.351647,2216049,1176025,0.6945999999999999,2789863,582653,25.45,641465,339154,1055091,18.17,1.4006604292790312,0.54817702,0.24700905546652582,2.1356358036564607,5,1
Core2012defining,SRP003416,SRR544879,SRZ544876,rep1,GRO-seq,D. melanogaster,cell line,S2,,,,,baseline,no treatment,,,False,circularization,None,"Circularized library, compared to others that were ligation",False,,Daniel,True,Core2012defining,Core,2012,Lis,10.1016/j.celrep.2012.08.034,single,False,True,False,False,True,False,False,205,SRZ544876,722,369,32656092,39,24301571,0.503988,12251279,4165414,0.6755,13432930,2780731,121.47,3334913,1799447,4802483,82.72,1.4684477756286267,0.5461905,0.3663838015893603,7.9876949993398005,2,1
